Date&Time,Cloudfactor,Windspeed,powerConsumption_CustomConsumer@18/5_Bus0,powerConsumption_CustomConsumer@18/6_Bus0,powerConsumption_CustomConsumer@18/9_Bus0,powerConsumption_CustomConsumer@14/10_Bus0,powerConsumption_CustomConsumer@18/11_Bus0,powerConsumption_CustomConsumer@13/11_Bus0,powerConsumption_CustomConsumer@13/12_Bus0,powerConsumption_CustomConsumer@19/13_Bus0,powerConsumption_CustomConsumer@14/14_Bus0,powerConsumption_CustomConsumer@17/16_Bus0,,powerProduction_SolarPowerPlant@18/3_Bus0,powerProduction_SolarPowerPlant@20/6_Bus0,powerProduction_SolarPowerPlant@20/9_Bus0,powerProduction_SolarPowerPlant@14/8_Bus0,powerProduction_SolarPowerPlant@20/11_Bus0,powerProduction_SolarPowerPlant@11/11_Bus0,powerProduction_SolarPowerPlant@21/13_Bus0,powerProduction_SolarPowerPlant@14/16_Bus0,powerProduction_SolarPowerPlant@11/13_Bus0,powerProduction_SolarPowerPlant@19/16_Bus0
2018.07.01   12.30,0,1.544,83412.7875,83412.7875,83412.7875,50047.6725,116777.9025,50047.6725,50047.6725,122338.755,103802.58,140874.93,,436517.5346,436517.5346,436517.5346,261910.5208,611124.5485,261910.5208,640225.7174,543221.8209,261910.5208,737229.614
2018.07.01   13.30,0.013,1.437,66509.1,66509.1,66509.1,39905.46,93112.74,39905.46,39905.46,97546.68,82766.88,112326.48,,430832.3073,430832.3073,430832.3073,258499.3844,603165.2303,258499.3844,631887.3841,536146.8713,258499.3844,727627.8968
2018.07.01   14.30,0,0.736,57228.01875,57228.01875,57228.01875,34336.81125,80119.22625,34336.81125,34336.81125,83934.4275,71217.09,96651.765,,430890.6411,430890.6411,430890.6411,258534.3846,603246.8975,258534.3846,631972.9402,536219.4644,258534.3846,727726.416
2018.07.01   15.30,0.255,2.642,48818.7,48818.7,48818.7,29291.22,68346.18,29291.22,29291.22,71600.76,60752.16,82449.36,,312001.0627,312001.0627,312001.0627,187200.6376,436801.4878,187200.6376,457601.5587,388267.9892,187200.6376,526935.1282
2018.07.01   16.30,0.262,2.221,45310.3875,45310.3875,45310.3875,27186.2325,63434.5425,27186.2325,27186.2325,66455.235,56386.26,76524.21,,293782.9234,293782.9234,293782.9234,176269.7541,411296.0928,176269.7541,430881.6211,365596.527,176269.7541,496166.7151
2018.07.01   17.30,0.289,1.751,49552.25625,49552.25625,49552.25625,29731.35375,69373.15875,29731.35375,29731.35375,72676.6425,61665.03,83688.255,,258947.9128,258947.9128,258947.9128,155368.7477,362527.0779,155368.7477,379790.272,322246.2914,155368.7477,437334.2526
2018.07.01   18.30,0.239,1.765,59269.21875,59269.21875,59269.21875,35561.53125,82976.90625,35561.53125,35561.53125,86928.1875,73757.25,100099.125,,233464.7532,233464.7532,233464.7532,140078.8519,326850.6545,140078.8519,342414.9714,290533.9151,140078.8519,394296.0277
2018.07.01   19.30,0.214,2.678,67795.48125,67795.48125,67795.48125,40677.28875,94913.67375,40677.28875,40677.28875,99433.3725,84367.71,114499.035,,155322.3893,155322.3893,155322.3893,93193.4336,217451.3451,93193.4336,227806.171,193290.0845,93193.4336,262322.2575
2018.07.01   20.30,0.135,2.859,66009.43125,66009.43125,66009.43125,39605.65875,92413.20375,39605.65875,39605.65875,96813.8325,82145.07,111482.595,,7419.6329,7419.6329,7419.6329,4451.7797,10387.486,4451.7797,10882.1282,9233.3209,4451.7797,12530.9355
2018.07.01   21.30,0,0.771,62192.8125,62192.8125,62192.8125,37315.6875,87069.9375,37315.6875,37315.6875,91216.125,77395.5,105036.75,,0.4294,0.4294,0.4294,0.2577,0.6012,0.2577,0.6299,0.5344,0.2577,0.7253
