Date&Time,Cloudfactor,Windspeed,powerConsumption_CustomConsumer@18/5_Bus0,powerConsumption_CustomConsumer@18/6_Bus0,powerConsumption_CustomConsumer@18/9_Bus0,powerConsumption_CustomConsumer@14/10_Bus0,powerConsumption_CustomConsumer@18/11_Bus0,powerConsumption_CustomConsumer@13/11_Bus0,powerConsumption_CustomConsumer@13/12_Bus0,powerConsumption_CustomConsumer@19/13_Bus0,powerConsumption_CustomConsumer@14/14_Bus0,powerConsumption_CustomConsumer@17/16_Bus0,,,powerProduction_SolarPowerPlant@18/3_Bus0,powerProduction_SolarPowerPlant@20/6_Bus0,powerProduction_SolarPowerPlant@20/9_Bus0,powerProduction_SolarPowerPlant@14/8_Bus0,powerProduction_SolarPowerPlant@20/11_Bus0,powerProduction_SolarPowerPlant@11/11_Bus0,powerProduction_SolarPowerPlant@21/13_Bus0,powerProduction_SolarPowerPlant@14/16_Bus0,powerProduction_SolarPowerPlant@11/13_Bus0,powerProduction_SolarPowerPlant@19/16_Bus0,,,
2018.03.11   07.30,0.395,1.555,82190.19375,82190.19375,82190.19375,49314.11625,115066.2713,49314.11625,49314.11625,120545.6175,102281.13,138810.105,871216.0538,,25079.8141,25079.8141,25079.8141,15047.8885,35111.7397,15047.8885,36783.7273,31210.4353,15047.8885,42357.0194,265846.0295,,
2018.03.11   08.30,0.357,1.215,64818.73125,64818.73125,64818.73125,38891.23875,90746.22375,38891.23875,38891.23875,95067.4725,80663.31,109471.635,687078.5513,,153946.8949,153946.8949,153946.8949,92368.1369,215525.6528,92368.1369,225788.7791,191578.3581,92368.1369,259999.2002,1631837.086,,
2018.03.11   09.30,0.134,2.518,53018.04375,53018.04375,53018.04375,31810.82625,74225.26125,31810.82625,31810.82625,77759.7975,65978.01,89541.585,561991.2638,,281424.3344,281424.3344,281424.3344,168854.6007,393994.0682,168854.6007,412755.6905,350216.9495,168854.6007,475294.4315,2983097.945,,
2018.03.11   10.30,0.365,2.203,46830.65625,46830.65625,46830.65625,28098.39375,65562.91875,28098.39375,28098.39375,68684.9625,58278.15,79091.775,496404.9563,,233549.6185,233549.6185,233549.6185,140129.7711,326969.4659,140129.7711,342539.4405,290639.5253,140129.7711,394439.3557,2475625.956,,
2018.03.11   11.30,0.371,2.739,47457.9,47457.9,47457.9,28474.74,66441.06,28474.74,28474.74,69604.92,59058.72,80151.12,503053.74,,245649.7474,245649.7474,245649.7474,147389.8484,343909.6463,147389.8484,360286.2961,305697.4634,147389.8484,414875.1289,2603887.322,,
2018.03.11   12.30,0.399,2.675,60523.70625,60523.70625,60523.70625,36314.22375,84733.18875,36314.22375,36314.22375,88768.1025,75318.39,102217.815,641551.2863,,240989.1606,240989.1606,240989.1606,144593.4964,337384.8248,144593.4964,353450.7689,299897.6221,144593.4964,407003.9157,2554485.103,,
2018.03.11   13.30,0.348,2.457,71569.575,71569.575,71569.575,42941.745,100197.405,42941.745,42941.745,104968.71,89064.36,120873.06,758637.495,,262046.2054,262046.2054,262046.2054,157227.7232,366864.6875,157227.7232,384334.4346,326101.9445,157227.7232,442566.9247,2777689.777,,
2018.03.11   14.30,0.323,1.134,73865.925,73865.925,73865.925,44319.555,103412.295,44319.555,44319.555,108336.69,91922.04,124751.34,782978.805,,266442.628,266442.628,266442.628,159865.5768,373019.6792,159865.5768,390782.521,331573.0481,159865.5768,449991.9939,2824291.857,,
2018.03.11   15.30,0.244,2.753,61820.71875,61820.71875,61820.71875,37092.43125,86549.00625,37092.43125,37092.43125,90670.3875,76932.45,104408.325,655299.6188,,282572.8234,282572.8234,282572.8234,169543.694,395601.9527,169543.694,414440.1409,351646.1802,169543.694,477234.1017,2995271.928,,
2018.03.11   16.30,0.007,1.599,53889.80625,53889.80625,53889.80625,32333.88375,75445.72875,32333.88375,32333.88375,79038.3825,67062.87,91013.895,571231.9463,,333860.3453,333860.3453,333860.3453,200316.2072,467404.4834,200316.2072,489661.8398,415470.6519,200316.2072,563853.0276,3538919.66,,
